"","season","title","original_air_date","episode_num_in_season","episode_num_overall","directed_by","written_by","prod_code","us_viewers","episode_num","imdb_rating","total_votes","desc"
"67",3,"Studies in Modern Movement",2011-11-10,7,56,"Tristram Shapeero","Adam Countee",307,3490000,7,8.6,3345,"The study group helps Annie move in with Troy and Abed - except for Jeff, who lies to get out of it but is busted by dean Pelton."
"68",3,"The First Chang Dynasty",2012-05-17,21,70,"Jay Chandrasekhar","Matt Fusfeld & Alex Cuthbertson",320,2610000,21,9.1,3609,"The Study Group, now known as the ""Greendale Seven,"" launches a plot to rescue the real dean Pelton and end Chang's reign of terror over Greendale."
"69",3,"Urban Matrimony and the Sandwich Arts",2012-03-15,11,60,"Kyle Newacheck","Vera Santamaria",312,4750000,11,7.7,2978,"Pierce comes to Shirley with a business proposal just as she's about to get married to Andre. Meanwhile, Troy and Abed try to act ""normal"" for the wedding, Britta discovers a new skill, and Jeff struggles with his toast."
"70",3,"Virtual Systems Analysis",2012-04-19,16,65,"Tristram Shapeero","Matt Murray",316,2770000,16,8.6,3420,"After sending Troy and Britta on a date, Annie volunteers to keep Abed company in his Dreamatorium."
"71",4,"Advanced Documentary Filmmaking",2013-03-14,6,77,"Jay Chandrasekhar","Hunter Covington",408,2580000,6,7.5,2702,"Abed makes a new documentary chronicling Greendale's effort to get a research grant for ""Changnesia,"" as well as Jeff's efforts to prove that Chang is faking his disease."
"72",4,"Advanced Introduction to Finality",2013-05-09,13,84,"Tristram Shapeero","Megan Ganz",411,3080000,13,7.7,2899,"A plan to celebrate Jeff's early graduation is unexpectedly disrupted by the study group's evil doppelgangers from the Darkest Timeline."
"73",4,"Alternative History of the German Invasion",2013-02-28,4,75,"Steven Tsuchida","Ben Wexler",402,2830000,4,7,2764,"The Study Group loses access to the study room to the German foosballers, and Chang returns to campus, claiming to be suffering from ""Changnesia."""
"74",4,"Basic Human Anatomy",2013-04-25,11,82,"Beth McCarthy-Miller","Jim Rash",410,2330000,11,8,2828,"When Annie and Shirley learn that Leonard is actually holding the spot as the class valedictorian, they join forces to bring him down."
"75",4,"Conventions of Space and Time",2013-02-21,3,74,"Michael Patrick Jann","Maggie Bandur",404,3080000,3,7.2,2922,"At the Inspector SpaceTime Convention, Abed finds a new ""soulmate,"" Jeff discovers he looks like one of the show's villains, Shirley and Pierce join a focus group, and Annie pretends to be Jeff's wife."
"76",4,"Cooperative Escapism in Familial Relations",2013-03-07,5,76,"Tristram Shapeero","Steve Basilone & Annie Mebane",405,3290000,5,7.4,2804,"While Jeff and Britta spend Thanksgiving with Jeff's newly-discovered father and brother, the rest of the Study Group tries to escape from Shirley's dysfunctional family Thanksgiving celebration."
"77",4,"Economics of Marine Biology",2013-03-21,7,78,"Tricia Brock","Tim Saccardo",406,2950000,7,6.7,2742,"Dean Pelton and Annie try to land a ""whale"" student while Jeff is assigned to keep Pierce occupied. Meanwhile, Troy and Shirley take a physical education education course, and Abed creates a fraternity to annoy the dean."
"78",4,"Heroic Origins",2013-05-02,12,83,"Victor Nelli, Jr.","Steve Basilone & Annie Mebane & Maggie Bandur",412,2670000,12,8.2,3018,"Abed's research into the study group's history uncovers an overlooked series of chance encounters that led each of them to Greendale."
"79",4,"Herstory of Dance",2013-04-04,8,79,"Tristram Shapeero","Jack Kukoda",407,2320000,8,7.8,2935,"While the dean sets up a Sadie Hawkins dance, Britta puts together a competing Sophie B. Hawkins dance. Meanwhile, Abed is set up with two dates to both dances by Annie and Shirley."
"80",4,"History 101",2013-02-07,1,72,"Tristram Shapeero","Andy Bobrow",401,3880000,1,7.2,3349,"While the Dean creates a Hunger Games-style competition for admission into a History of Ice Cream class, the final class Jeff needs to graduate and a fear of graduation causes Abed to retreat to his happy place."
"81",4,"Intro to Felt Surrogacy",2013-04-11,9,80,"Tristram Shapeero","Gene Hong",413,2840000,9,6.8,3175,"Dean Pelton prompts the study group to use puppets to relive the traumatic events of a recent adventure."
"82",4,"Intro to Knots",2013-04-18,10,81,"Tristram Shapeero","Andy Bobrow",409,3130000,10,7.6,2705,"Jeff organizes a lovely holiday gathering at his apartment but Annie secretly invites Professor Cornwallis, to get in his good graces."
"83",4,"Paranormal Parentage",2013-02-14,2,73,"Tristram Shapeero","Megan Ganz",403,2760000,2,7.5,2982,"The study group's Halloween plans are put on hold when Pierce locks himself in the panic room of his ""haunted"" mansion."
"84",5,"Advanced Advanced Dungeons & Dragons",2014-03-20,10,94,"Joe Russo","Matt Roller",510,3320000,10,8.4,2848,"The group proposes a ""sequel"" to Dungeons & Dragons night when they need to get a skeptical professor Hickey to bond with his estranged son."
"85",5,"Analysis of Cork-Based Networking",2014-01-30,6,90,"Tristram Shapeero","Monica Padrick",506,3010000,6,8.1,2846,"Annie and Hickey fight Greendale bureaucracy to install a bulletin board, Abed learns a lesson about sign language, and the others discover the challenges of planning a properly sensitive school dance."
"86",5,"App Development and Condiments",2014-03-06,8,92,"Rob Schrab","Jordan Blum & Parker Deay",508,2790000,8,9,3667,"When a new app is beta tested on Greendale students, the campus soon descends into a dystopian society where status is determined by app standing."
"87",5,"Basic Intergluteal Numismatics",2014-01-09,3,87,"Tristram Shapeero","Erik Sommers",505,3580000,3,9,4009,"The college is imbued with panic when an unidentified person returns to dropping coins down people's butts and Annie takes it upon herself to find out who is behind it all."
"88",5,"Basic Sandwich",2014-04-17,13,97,"Rob Schrab","Ryan Ridley",511,2870000,13,8.1,2508,"When the group learns about Greendale's first dean, they embark on a mission to find his old computer lab; Subway enlists Chang to spy on the group as part of its plan to take over the school."
"89",5,"Basic Story",2014-04-10,12,96,"Jay Chandrasekhar","Carol Kolb",512,2560000,12,7.7,2387,"After a liability audit, the Save Greendale Committee discovered that they have, in fact, saved Greendale - until they discover that as a result of the successful audit, the school is being sold to Subway."
"90",5,"Bondage and Beta Male Sexuality",2014-02-27,7,91,"Tristram Shapeero","Dan Guterman",507,2560000,7,7.8,2557,"Jeff helps Duncan score a date with Britta, and Abed has a Hickey encounter on his way to the movie theater."
"91",5,"Cooperative Polygraphy",2014-01-16,4,88,"Tristram Shapeero","Alex Rubens",503,3070000,4,9.3,4041,"After Pierce's unexpected passing, a team of investigators headed by the no-nonsense Mr. Stone arrives at Greendale to subject the study group to lie detector tests before they can be considered for distributions under the will."
"92",5,"G.I. Jeff",2014-04-03,11,95,"Rob Schrab","Dino Stamatopoulos",513,2500000,11,7.9,2907,"The entire group becomes part of the cast of a classic ""G.I. Joe"" cartoon from the 1980s, which turns out to be part of Jeff's coping mechanism as he deals with a monumental life event."
"93",5,"Geothermal Escapism",2014-01-23,5,89,"Joe Russo","Tim Saccardo",504,3020000,5,9.4,4563,"As a going-away present to Troy before his around-the-world trip, Abed sets up a high-stakes game of ""Hot Lava"" at the college, but Britta suspects that the game is just masking his real feelings about Troy's departure."
"94",5,"Introduction to Teaching",2014-01-02,2,86,"Jay Chandrasekhar","Andy Bobrow",502,3490000,2,8.5,3179,"Jeff blows off his new teaching job at Greendale until Annie signs up for his class and forces him to teach, and Abed loses his religion when he takes a course about whether Nicolas Cage is good or bad."
"95",5,"Repilot",2014-01-02,1,85,"Tristram Shapeero","Dan Harmon & Chris McKenna",501,3490000,1,7.8,3119,"Having failed in his second go-round as a lawyer, and unable to gather evidence for a potential lawsuit against Greendale, Jeff tries to convince the other former members of the Study Group to sue the school."
"96",5,"VCR Maintenance and Educational Publishing",2014-03-13,9,93,"Tristram Shapeero","Donald Diego",509,2770000,9,8,2644,"Whilst cleaning the storage room Jeff, Hickey and Shirley find a pile of unused hidden textbooks and plot a way to make the best out of it. Meanwhile, Annie and Abed are trying to find a new roommate."
"97",6,"Advanced Safety Features",2015-04-21,7,104,"Rob Schrab","Carol Kolb",607,NA,7,7.3,2358,"An ex-boyfriend persuades Britta to join a guerilla marketing campaign."
"98",6,"Basic Crisis Room Decorum",2015-03-24,3,100,"Bobcat Goldthwait","Monica Padrick",605,NA,3,7.6,2441,"The Greendale gang goes on the offensive when a rival college releases an attack ad."
"99",6,"Basic Email Security",2015-04-14,6,103,"Jay Chandrasekhar","Matt Roller",606,NA,6,7.5,2380,"A hacker threatens to publish emails unless a scheduled appearance by a racist comic is canceled."
"100",6,"Basic RV Repair and Palmistry",2015-05-12,10,107,"Jay Chandrasekhar","Dan Guterman",610,NA,10,7.5,2343,"While on a road trip to get rid of a Greendale artifact, Abed turns a situation into a feature film."
"101",6,"Emotional Consequences of Broadcast Television",2015-06-02,13,110,"Rob Schrab","Dan Harmon & Chris McKenna",613,NA,13,9.5,5307,"As their sixth year at Greendale draws to a close, Abed asks everyone to imagine pitching a TV show about what they would do in season seven."
"102",6,"Grifting 101",2015-05-05,9,106,"Rob Schrab","Ryan Ridley",609,NA,9,7.6,2346,"When a clever clever con man, Professor DeSalvo, uses his class to cheat the study group, they enlist Jeff to get revenge. The situation goes awry as Britta and Dean Pelton get involved in Jeff and Professor DeSalvo's scamming competition."
"103",6,"Intro to Recycled Cinema",2015-04-28,8,105,"Victor Nelli, Jr.","Clay Lapari",608,NA,8,7.8,2406,"The committee, along with a movie producer named Maury, help Abed complete his unfinished film."
"104",6,"Ladders",2015-03-17,1,98,"Rob Schrab","Dan Harmon & Chris McKenna",602,NA,1,7.7,2770,"Dean Pelton hires an administrative consultant to organize things at Greendale."
"105",6,"Lawnmower Maintenance & Postnatal Care",2015-03-17,2,99,"Jim Rash & Nat Faxon","Alex Rubens",601,NA,2,7.5,2591,"Jeff and Frankie ask an inventor for help extracting Dean Pelton from his virtual reality world."
"106",6,"Laws of Robotics & Party Rights",2015-04-07,5,102,"Rob Schrab","Dean Young",604,NA,5,7.6,2352,"A prisoner attends Greendale via telerobot; Britta tries to get around one of Annie's rules."
"107",6,"Modern Espionage",2015-05-19,11,108,"Rob Schrab","Mark Stegemann",611,NA,11,9,3068,"When a secret game of paintball occurs on campus, Frankie threatens to expel those who participate."
"108",6,"Queer Studies & Advanced Waxing",2015-03-31,4,101,"Jim Rash & Nat Faxon","Matt Lawton",603,NA,4,8,2556,"Dean Pelton is asked to lie; Chang auditions for a stage adaptation of ""The Karate Kid."""
"109",6,"Wedding Videography",2015-05-26,12,109,"Adam Davidson","Briggs Hatton",612,NA,12,8.6,2762,"A marriage proposal in Jeff's law class exposes a connection between the future bride and groom."
